"Player","Team","REC","YDS","TDS","RATT","RYDS","RTDS","FL","FPTS"
"Andy Isabella","BUF","2.5","42.4","0.2","0.0","6.8","0.1","0.0","9.1"
"Tim Jones","JAC","3.8","40.3","0.2","0.0","0.5","0.0","0.0","9.1"
"Austin Trammell","LAR","3.3","42.5","0.2","0.0","0.0","0.0","0.0","8.6"
"Brandon Johnson","DEN","3.2","40.6","0.2","0.0","0.8","0.0","0.0","8.6"
"C.J. Saunders","CAR","3.4","40.1","0.2","0.0","0.0","0.0","0.0","8.5"
"Cam Sims","LV","3.4","44.8","0.1","0.1","0.3","0.0","0.0","8.4"
"Keke Coutee","MIA","3.4","39.0","0.2","0.0","0.0","0.0","0.0","8.3"
"Kawaan Baker","NO","3.3","40.1","0.2","0.0","0.0","0.0","0.0","8.3"
"Keelan Doss","LAC","2.4","40.2","0.2","0.0","3.4","0.0","0.0","8.2"
"Keelan Cole Sr.","LV","3.3","38.8","0.2","0.0","0.0","0.0","0.0","8.2"
"Anthony Schwartz","CLE","3.0","36.6","0.1","0.8","7.4","0.1","0.2","8.1"
"Dez Fitzpatrick","PIT","3.2","38.9","0.2","0.0","0.0","0.0","0.0","8.1"
"David Sills V","NYG","3.3","37.4","0.2","0.0","0.0","0.0","0.0","8.1"
"Jaelon Darden","CLE","2.3","44.1","0.2","0.0","2.8","0.0","0.0","8.0"
"Michael Woods II","CLE","3.1","38.7","0.2","0.0","0.0","0.0","0.0","8.0"
"Mason Kinsey","TEN","3.1","38.4","0.2","0.0","0.0","0.0","0.0","7.9"
"Chris Conley","SF","3.0","34.8","0.2","0.0","0.0","0.0","0.0","7.6"
"Lance McCutcheon","LAR","2.2","42.7","0.2","0.0","0.7","0.0","0.0","7.5"
"Alex Erickson","NYJ","2.6","37.1","0.2","0.0","0.7","0.0","0.0","7.4"
"Mike Strachan","IND","2.8","35.0","0.2","0.0","0.0","0.0","0.0","7.4"
"Vyncint Smith","IND","2.8","35.0","0.2","0.0","0.0","0.0","0.0","7.3"
"Trent Taylor","CIN","2.3","32.2","0.2","0.0","5.8","0.0","0.0","7.3"
"Josh Ali","ATL","2.8","32.2","0.2","0.0","0.0","0.0","0.0","7.1"
"Tylan Wallace","BAL","3.0","34.2","0.1","0.1","0.8","0.0","0.0","7.0"
"Jason Brownlee","NYJ","2.6","30.0","0.2","0.0","1.1","0.0","0.0","7.0"
"Jalen Camp","HOU","2.1","32.4","0.1","0.0","3.4","0.0","0.0","6.6"
"Daurice Fountain","CHI","2.5","29.2","0.2","0.0","0.0","0.0","0.0","6.4"
"Greg Ward","PHI","2.5","30.2","0.2","0.0","0.2","0.0","0.0","6.4"
"Nsimba Webster","CHI","2.5","29.0","0.2","0.0","0.0","0.0","0.0","6.4"
"James Proche II","BAL","1.8","35.2","0.1","0.0","0.8","0.0","0.0","6.0"
"Miles Boykin","PIT","1.6","28.4","0.1","0.0","0.3","0.0","0.0","5.1"
"Racey McMath","TEN","1.8","23.0","0.1","0.0","0.6","0.0","0.0","4.8"
"Breshad Perriman","IND","0.9","14.7","0.1","0.0","0.7","0.0","0.0","2.9"
"Kirk Merritt","NO","0.4","9.5","0.1","0.0","0.3","0.0","0.0","1.7"
"Reggie Roberson Jr.","TEN","0.5","6.3","0.1","0.0","0.4","0.0","0.0","1.5"
"Andrei Iosivas","CIN","0.0","105.5","0.0","0.4","2.7","0.0","0.1","0.0"
